Wavenumber,WD23MI02,WD33MI03,WD71AMI01,SH63MI10,SH01MI11,SH01MI05,WD23MI03A,FI38MI01C,SH01MI12B,CV09EMI05,FI38MI01B,SH01MI12A,OK14MI07,OK14MI12,AK96MI13,OK14MI01,WD35MI04A,OK14MI06C,Terry3MI04A,FI45MI02,AK96MI08,WD70MI03,Terry3MI03,WD12MI04A,FI45MI05,WD70MI01A,WD35MI02,WD07MI01A,FI45MI06,OK14MI08,WD70MI01B,WD12MI06,WD35MI01,OK14MI09,WD07MI01B,FI38MI05A,SH58MI01,SH63MI34,OK17MI05A,FI45MI04A,JFL30AMI12,VS73MI02,SH63MI24
2483.906,0.2838084,0.242974333,0.309998575,0.173163733,0.285027067,0.167589925,0.7557456,-0.049268323,0.372714267,0.11061184,-0.008456473,0.295967733,0.3377991,0.1538986,0.063950045,0.287432533,0.300138133,0.120094067,-0.009271954,0.2799887,0.094417595,0.184582933,0.191350455,0.264952433,0.2253239,0.2608883,0.34420545,0.181553,0.3033972,0.31594465,0.2488993,0.268673356,0.358541367,0.26192185,0.278236,0.253499633,0.319935567,0.235811367,0.117823333,0.32868185,0.2499043,0.303495175,0.1258744
2485.834,0.283007422,0.243268167,0.309690575,0.1731336,0.2846498,0.167775375,0.7554201,-0.04997153,0.372769333,0.110515843,-0.008156003,0.295754067,0.3374051,0.15376585,0.06394813,0.286716367,0.299788633,0.1200062,-0.009312298,0.279638967,0.094393145,0.184417767,0.191325689,0.264654533,0.22514,0.260848533,0.3446107,0.1813389,0.30314545,0.31664965,0.248836033,0.268357256,0.358550467,0.26207025,0.278201467,0.2535463,0.319647233,0.235660333,0.117802933,0.32893875,0.2496069,0.303836525,0.1258971
2487.763,0.282982489,0.243465867,0.309404975,0.173103733,0.284258933,0.167910225,0.755134633,-0.050687657,0.372746267,0.110420175,-0.007845197,0.2955753,0.3370693,0.15363935,0.06395856,0.28586,0.299432333,0.119933933,-0.00932848,0.27933,0.094378035,0.1842755,0.191164245,0.264370767,0.22512015,0.260795233,0.3450867,0.1811389,0.3029162,0.31746025,0.2487795,0.267922233,0.3585484,0.2622435,0.2781827,0.2535185,0.319362167,0.235547667,0.117765767,0.3290867,0.249260567,0.304189775,0.125929133
2489.692,0.283120522,0.243558133,0.309179875,0.173087133,0.283862267,0.1679625,0.7548589,-0.05138965,0.3726736,0.11035558,-0.007571852,0.295450267,0.3366485,0.1535012,0.0638716,0.284862233,0.2991285,0.1198774,-0.00931927,0.279048633,0.094335755,0.184137533,0.191026974,0.264100867,0.22499665,0.260722667,0.3455692,0.1809914,0.3026618,0.318268,0.2487141,0.2676566,0.358579933,0.26236355,0.2782001,0.253412367,0.319138667,0.235467667,0.117726167,0.32915215,0.248916533,0.304516075,0.125953933
2491.62,0.282871467,0.2436087,0.308998975,0.173073367,0.283485667,0.16790135,0.754574033,-0.052091657,0.3726241,0.110291013,-0.007293075,0.295358833,0.3361754,0.15337815,0.06381919,0.284039,0.298901933,0.119829533,-0.009276053,0.278727567,0.094338935,0.184014467,0.190934876,0.263801667,0.22478395,0.2606328,0.3459601,0.1808055,0.30254915,0.3189067,0.248620933,0.267571456,0.358570467,0.2624089,0.278256733,0.253239133,0.3189358,0.235399633,0.117700033,0.32922465,0.248592267,0.304814175,0.125983033
2493.549,0.282148767,0.243657333,0.308833375,0.1730581,0.283166167,0.16772775,0.754391,-0.052776487,0.372580333,0.110178365,-0.006979379,0.2952878,0.3357288,0.15329275,0.063807215,0.283467133,0.298691133,0.1198047,-0.009213465,0.2784022,0.094301195,0.183939967,0.190958556,0.2634836,0.22452595,0.260493433,0.34623645,0.1806071,0.3026496,0.3194511,0.248508867,0.267309422,0.358472867,0.26239765,0.278353967,0.253041833,0.318731933,0.235307433,0.1176848,0.3293017,0.248227467,0.305073075,0.126057867
2495.477,0.280687233,0.2435295,0.308682325,0.173034133,0.282927933,0.167535575,0.754247967,-0.053457253,0.372522,0.110077788,-0.006601657,0.295283967,0.33535875,0.1532683,0.063868025,0.2828177,0.298460133,0.119782033,-0.009147351,0.2781187,0.09416177,0.1838691,0.190896883,0.263189867,0.2242082,0.260318533,0.3464792,0.180417567,0.3028378,0.3194554,0.2483972,0.267037967,0.3584088,0.26232285,0.278437133,0.252794267,0.3185547,0.235232167,0.117681033,0.32946745,0.2478568,0.305324375,0.126119467
2497.406,0.280144378,0.243203967,0.30852145,0.1730073,0.2827612,0.1674019,0.754016967,-0.054153937,0.372443933,0.110007113,-0.006132878,0.295365533,0.33506355,0.15332455,0.06389971,0.281876767,0.298249567,0.119743333,-0.009052446,0.277835933,0.093983615,0.183817133,0.190633157,0.262922233,0.2238762,0.260115533,0.3468302,0.180252167,0.3030248,0.31909235,0.248287767,0.266957656,0.358405933,0.2621856,0.278496633,0.252474167,0.318451067,0.235208967,0.117681233,0.32986355,0.247605233,0.305545175,0.126155033
2499.334,0.280485733,0.242805933,0.308369075,0.172978667,0.2825835,0.167271325,0.753790867,-0.054845857,0.372360967,0.109944085,-0.005662394,0.295423767,0.3348066,0.15340575,0.063822665,0.281131,0.298039467,0.119709233,-0.008943584,0.277598933,0.093883035,0.1837965,0.190564494,0.262678933,0.22371985,0.2598739,0.3471422,0.180080567,0.30322255,0.31874105,0.248176567,0.2666878,0.358440333,0.26205895,0.278558367,0.252041667,0.3183534,0.235243267,0.1176908,0.33045415,0.2474593,0.305762475,0.126162467
2501.262,0.2805623,0.242322667,0.308241075,0.172957867,0.282396733,0.16712445,0.7536262,-0.055491163,0.372274833,0.109882163,-0.005223094,0.2954762,0.33471255,0.15354555,0.06369522,0.2807919,0.297841233,0.119694533,-0.008844105,0.277414633,0.09383731,0.183809233,0.190640009,0.262471833,0.22366035,0.259586733,0.3472558,0.179981067,0.3034728,0.3183107,0.2480984,0.266497067,0.358576967,0.26186145,0.278625233,0.251588467,0.318243333,0.235367567,0.117715067,0.3310572,0.247358567,0.3059826,0.126200167
2503.191,0.281053867,0.2416493,0.308107,0.172945433,0.2822628,0.166971925,0.753502533,-0.056067797,0.372190767,0.109814145,-0.004801258,0.295611633,0.33463155,0.1537056,0.063511665,0.280718767,0.297722467,0.119703467,-0.008739184,0.27728,0.09373633,0.183859233,0.190571409,0.262339267,0.22341395,0.259252967,0.34723775,0.1799326,0.3037129,0.3177148,0.248048167,0.266552044,0.3588482,0.2616321,0.2786386,0.251188567,0.3182089,0.235564833,0.117766333,0.33151025,0.247209633,0.3061782,0.126271733
2505.12,0.281513089,0.240938033,0.307986025,0.172941433,0.282194867,0.166790525,0.753478067,-0.056613663,0.372107167,0.10977842,-0.004310968,0.295836333,0.3344973,0.15384175,0.063413855,0.2808484,0.297666967,0.119721067,-0.008625368,0.277215,0.09356092,0.183902367,0.190615396,0.262257433,0.2231496,0.258894733,0.34728895,0.179913867,0.3038373,0.3170114,0.2480079,0.265874867,0.359141933,0.2614361,0.278623633,0.250830033,0.318189233,0.235775467,0.1178356,0.33183925,0.247063867,0.306322,0.126338233
2507.048,0.280913389,0.240261367,0.307879775,0.172923933,0.2821853,0.166620025,0.753493433,-0.05710742,0.3720965,0.109779285,-0.003820732,0.296063433,0.33432565,0.15395755,0.063316285,0.281132033,0.297635467,0.119740367,-0.00851367,0.277253433,0.093359455,0.183910433,0.190546918,0.262207033,0.2230234,0.258537367,0.3473678,0.1798925,0.303942,0.31610365,0.247975333,0.265625911,0.3593754,0.26121905,0.2785847,0.250498233,0.318154633,0.2359635,0.117914433,0.33214635,0.2470074,0.306490025,0.1263549
2508.977,0.281114144,0.239637133,0.30780525,0.172888767,0.2822078,0.1664792,0.753561467,-0.057508353,0.372168833,0.109780858,-0.003341871,0.296297967,0.33413165,0.15400585,0.06303705,0.281674067,0.297670633,0.119771567,-0.008402336,0.277303067,0.093239245,0.183955233,0.190560752,0.262213067,0.22296755,0.258163267,0.3474442,0.179891667,0.30422925,0.3149585,0.2479424,0.265874533,0.3596257,0.2610503,0.2785204,0.250174367,0.318127433,0.236124067,0.117993733,0.3323364,0.2469868,0.30667585,0.126354267
